age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
27,private,160178,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,38,united-states,<=50K
45,state-gov,50567,hs-grad,9,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,<=50K
29,private,185908,bachelors,13,married-civ-spouse,exec-managerial,husband,black,male,0,0,55,united-states,>50K
30,private,190040,bachelors,13,never-married,machine-op-inspct,not-in-family,white,female,0,0,40,united-states,<=50K
29,self-emp-not-inc,189346,some-college,10,divorced,craft-repair,not-in-family,white,male,2202,0,50,united-states,<=50K
51,private,108435,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,47,united-states,>50K
58,self-emp-not-inc,93664,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,15024,0,60,united-states,>50K
22,private,148431,hs-grad,9,never-married,adm-clerical,not-in-family,other,female,0,0,40,united-states,<=50K
50,private,313321,assoc-acdm,12,divorced,sales,not-in-family,white,female,0,0,40,united-states,<=50K
50,private,71417,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,3103,0,40,united-states,>50K
43,self-emp-not-inc,241895,bachelors,13,never-married,sales,not-in-family,white,male,0,0,42,united-states,<=50K
37,private,271013,hs-grad,9,divorced,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50K
41,private,152529,bachelors,13,never-married,prof-specialty,not-in-family,white,male,0,0,40,united-states,>50K
46,private,116952,7th-8th,4,married-civ-spouse,prof-specialty,wife,white,female,0,0,45,united-states,<=50K
33,private,226629,some-college,10,married-civ-spouse,other-service,wife,white,female,0,0,35,united-states,<=50K
45,private,161819,11th,7,separated,adm-clerical,unmarried,black,female,0,0,25,united-states,<=50K
43,private,99212,assoc-voc,11,married-civ-spouse,exec-managerial,husband,white,male,3103,0,48,united-states,>50K
52,self-emp-inc,179951,prof-school,15,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,<=50K
38,federal-gov,115433,assoc-acdm,12,married-civ-spouse,adm-clerical,wife,white,female,7688,0,33,united-states,>50K
32,self-emp-not-inc,267161,bachelors,13,divorced,exec-managerial,unmarried,black,female,0,0,30,united-states,<=50K
40,private,439919,9th,5,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,<=50K
31,state-gov,93589,hs-grad,9,divorced,protective-serv,own-child,other,male,0,0,40,united-states,<=50K
51,private,95329,masters,14,divorced,protective-serv,unmarried,white,male,0,0,40,united-states,<=50K
23,private,227594,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,30,united-states,<=50K
29,private,50295,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,48,united-states,<=50K
32,local-gov,159187,bachelors,13,never-married,prof-specialty,not-in-family,white,male,0,0,35,united-states,<=50K
59,private,167963,hs-grad,9,never-married,adm-clerical,unmarried,white,male,0,0,40,united-states,<=50K
32,private,237903,bachelors,13,never-married,prof-specialty,unmarried,white,female,0,0,40,united-states,<=50K
33,federal-gov,129707,some-college,10,never-married,exec-managerial,not-in-family,white,male,0,0,50,united-states,<=50K
18,private,231562,hs-grad,9,never-married,sales,own-child,white,female,0,0,33,united-states,<=50K
53,private,195813,5th-6th,3,married-civ-spouse,craft-repair,husband,other,male,5178,0,40,puerto-rico,>50K
32,private,190511,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50K
23,private,260254,hs-grad,9,never-married,sales,own-child,white,male,0,0,40,united-states,<=50K
26,private,94392,11th,7,separated,other-service,unmarried,white,female,0,0,20,united-states,<=50K
28,federal-gov,329426,bachelors,13,never-married,exec-managerial,not-in-family,white,male,0,0,40,united-states,<=50K
30,private,167309,bachelors,13,married-civ-spouse,adm-clerical,husband,white,male,0,1902,40,united-states,>50K
18,private,188476,11th,7,never-married,exec-managerial,own-child,white,male,0,0,20,united-states,<=50K
34,private,456399,assoc-acdm,12,never-married,prof-specialty,not-in-family,white,male,0,0,40,united-states,<=50K
25,private,184303,some-college,10,separated,priv-house-serv,other-relative,white,female,0,0,30,el-salvador,<=50K
54,private,96710,hs-grad,9,married-civ-spouse,priv-house-serv,other-relative,black,female,0,0,20,united-states,<=50K
37,private,160035,some-college,10,divorced,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50K
45,private,287190,assoc-acdm,12,divorced,adm-clerical,unmarried,black,male,0,0,35,united-states,<=50K
48,private,107231,prof-school,15,married-civ-spouse,exec-managerial,husband,white,male,99999,0,50,united-states,>50K
72,private,38360,hs-grad,9,widowed,other-service,unmarried,white,female,0,0,16,united-states,<=50K
45,federal-gov,232997,some-college,10,married-civ-spouse,transport-moving,husband,white,male,0,0,65,united-states,>50K
45,self-emp-inc,145290,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,0,40,united-states,>50K
45,local-gov,257855,11th,7,married-civ-spouse,other-service,husband,black,male,0,0,50,united-states,<=50K
20,private,347530,hs-grad,9,never-married,other-service,unmarried,black,female,0,0,25,united-states,<=50K
64,,178556,10th,6,married-civ-spouse,,husband,white,male,0,0,56,united-states,>50K
45,private,155659,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50K
45,private,135044,hs-grad,9,divorced,machine-op-inspct,not-in-family,white,female,0,0,40,united-states,<=50K
20,,193416,some-college,10,never-married,,own-child,white,female,0,0,40,united-states,<=50K
46,private,65353,some-college,10,divorced,transport-moving,own-child,white,male,3325,0,55,united-states,<=50K
26,federal-gov,352768,hs-grad,9,divorced,adm-clerical,own-child,white,female,0,0,40,united-states,<=50K
28,private,177119,masters,14,never-married,exec-managerial,not-in-family,white,female,0,0,80,,<=50K
